win,lose,probability
Boston Celtics,Philadelphia 76ers,0.5747823330641697
Golden State Warriors,Oklahoma City Thunder,0.7008606103655828
Milwaukee Bucks,Charlotte Hornets,0.6461177066142492
Detroit Pistons,Brooklyn Nets,0.6395240582859958
Houston Rockets,New Orleans Pelicans,0.7750305673400301
Indiana Pacers,Memphis Grizzlies,0.8465917985080957
Denver Nuggets,Los Angeles Clippers,0.6020019003351988
Atlanta Hawks,New York Knicks,0.5191775444289485
Miami Heat,Orlando Magic,0.8153145567915157
Dallas Mavericks,Phoenix Suns,0.7743950042173163
Utah Jazz,Sacramento Kings,0.875545455006943
Minnesota Timberwolves,San Antonio Spurs,0.5175729330548648
Toronto Raptors,Cleveland Cavaliers,0.6677551322257365
Philadelphia 76ers,Chicago Bulls,0.856695638205593
Portland Trail Blazers,Los Angeles Lakers,0.6760922114642464
Washington Wizards,Miami Heat,0.5431722846018737
New York Knicks,Brooklyn Nets,0.651438669258759
Oklahoma City Thunder,Los Angeles Clippers,0.6277161890968282
Atlanta Hawks,Memphis Grizzlies,0.6806768993732982
Indiana Pacers,Milwaukee Bucks,0.5351120678621171
Cleveland Cavaliers,Minnesota Timberwolves,0.5650414077501205
New Orleans Pelicans,Sacramento Kings,0.8190204176913576
Charlotte Hornets,Orlando Magic,0.7729377752340674
Toronto Raptors,Boston Celtics,0.6185347616065423
Golden State Warriors,Utah Jazz,0.6273904515074458
Detroit Pistons,Chicago Bulls,0.7991971074374058
Minnesota Timberwolves,Dallas Mavericks,0.8584395721633563
Denver Nuggets,Phoenix Suns,0.8734511941916828
Indiana Pacers,Brooklyn Nets,0.7660378880317265
Houston Rockets,Los Angeles Lakers,0.8599261515845319
Miami Heat,Charlotte Hornets,0.5869954134431185
Boston Celtics,New York Knicks,0.8605354406416463
Philadelphia 76ers,Orlando Magic,0.8505820712723755
Portland Trail Blazers,San Antonio Spurs,0.5058430724989037
Toronto Raptors,Washington Wizards,0.6828575093685584
Cleveland Cavaliers,Atlanta Hawks,0.8384916017663738
Golden State Warriors,Denver Nuggets,0.6409097620987724
Houston Rockets,Los Angeles Clippers,0.8025463982002711
Oklahoma City Thunder,Sacramento Kings,0.8221315345791516
Boston Celtics,Orlando Magic,0.866960959504486
Chicago Bulls,Dallas Mavericks,0.6054161713856059
Golden State Warriors,Phoenix Suns,0.939373205810287
San Antonio Spurs,Los Angeles Lakers,0.7067467510299008
